,course,Credits,Instructor,Department,course_name,description,vec_str
2444,BUS 696,3,T Chen,Business (BUS),MBA Consulting Practicum ,"Final MBA requirement for those candidates not writing a thesis. Candidates will form consulting teams to perform a meaningful, strategic study for a client organization. Pre: 632 and at least 12 credits of MBA electives. MBA students only or advisor approval.","MBA Consulting Practicum  Final MBA requirement for those candidates not writing a thesis. Candidates will form consulting teams to perform a meaningful, strategic study for a client organization. Pre: 632 and at least 12 credits of MBA electives. MBA students only or advisor approval. Business (BUS)"
2448,BUS 705,1-3,Q Liu,Business (BUS),Research Seminar in Business ,"Covers research topics including research projects currently underway by Shidler College faculty, advanced PhD students, distinguished visiting faculty, and research contemplated by new PhD students. Repeatable unlimited times. CR/NC only. Pre: student status in PhD in business administration or consent.","Research Seminar in Business  Covers research topics including research projects currently underway by Shidler College faculty, advanced PhD students, distinguished visiting faculty, and research contemplated by new PhD students. Repeatable unlimited times. CR/NC only. Pre: student status in PhD in business administration or consent. Business (BUS)"
2452,BLAW 200,3,T J Messinger,Business Law (BLAW),Legal Environment of Business ,"Introduction to the legal environment of business operations with particular attention to business law and ethics and to principles of law relating to contracts, agency, partnerships, and corporations.","Legal Environment of Business  Introduction to the legal environment of business operations with particular attention to business law and ethics and to principles of law relating to contracts, agency, partnerships, and corporations. Business Law (BLAW)"
2476,CAM 102,4,C Sak-Humphry,Cambodian (CAM),Introductory Khmer II ,"Continuation of 101. Face to face course continues to develop students’ proficiency in speaking, listening, reading, and writing Khmer at the introductory level, with structural points introduced inductively. Meets five hours weekly. Pre: 101 or exam or consent","Introductory Khmer II  Continuation of 101. Face to face course continues to develop students’ proficiency in speaking, listening, reading, and writing Khmer at the introductory level, with structural points introduced inductively. Meets five hours weekly. Pre: 101 or exam or consent Cambodian (CAM)"
2482,CAM 103,3,C Sak-Humphry,Cambodian (CAM),Conversing in Khmer I ,"Online course aims to develop students’ proficiency in speaking and listening to Khmer at the introductory level for the purpose of communication, travel, and for enjoyment.","Conversing in Khmer I  Online course aims to develop students’ proficiency in speaking and listening to Khmer at the introductory level for the purpose of communication, travel, and for enjoyment. Cambodian (CAM)"
2488,CAM 104,3,C Sak-Humphry,Cambodian (CAM),Conversing in Khmer II ,"Continuation of 103. Online course continues to develop students’ proficiency in speaking and listening to Khmer at the introductory level for the purpose of communication, travel, and for enjoyment. Pre: 101 or 103, or consent.","Conversing in Khmer II  Continuation of 103. Online course continues to develop students’ proficiency in speaking and listening to Khmer at the introductory level for the purpose of communication, travel, and for enjoyment. Pre: 101 or 103, or consent. Cambodian (CAM)"
2494,CAM 105,3,C Sak-Humphry,Cambodian (CAM),Reading/Writing in Khmer I ,Online course aims to develop proficiency in reading and writing Khmer at the introductory level. Uses interactive multimedia web-based content and textbook to complement online instruction.,Reading/Writing in Khmer I  Online course aims to develop proficiency in reading and writing Khmer at the introductory level. Uses interactive multimedia web-based content and textbook to complement online instruction. Cambodian (CAM)
2500,CAM 106,3,C Sak-Humphry,Cambodian (CAM),Reading/Writing in Khmer II ,"Continuation of 105. Online course continues to develop proficiency in reading and writing Khmer at the introductory level. Uses interactive multimedia web-based content and textbook to complement online instruction. Pre: 101 or 105, or consent.","Reading/Writing in Khmer II  Continuation of 105. Online course continues to develop proficiency in reading and writing Khmer at the introductory level. Uses interactive multimedia web-based content and textbook to complement online instruction. Pre: 101 or 105, or consent. Cambodian (CAM)"
2506,CMB 606,4,C Todorovic,Cell and Molecular Biology (CMB),Introduction to Neurosciences ,"An interdisciplinary overview of the central nervous system, drawn from current knowledge and research on vertebrate and invertebrate neurobiology. Repeatable one time. Pre: consent.","Introduction to Neurosciences  An interdisciplinary overview of the central nervous system, drawn from current knowledge and research on vertebrate and invertebrate neurobiology. Repeatable one time. Pre: consent. Cell and Molecular Biology (CMB)"
2508,CMB 611,1,J Panee,Cell and Molecular Biology (CMB),Seminar in Biomedical Sciences ,Presentation and discussion of research topics in biomedical science. Repeatable nine times. CR/NC only. Pre: graduate standing or consent. (Cross-listed as REPR 611),Seminar in Biomedical Sciences  Presentation and discussion of research topics in biomedical science. Repeatable nine times. CR/NC only. Pre: graduate standing or consent. (Cross-listed as REPR 611) Cell and Molecular Biology (CMB)
